Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,mean_duration,days_of_leaves,overtime_count
27,No,Travel_Rarely,Sales,3,3,Life Sciences,991,1,Manager,Single,66940,1.0,13,1,6.0,2,6,1,4,3.0,4.0,2.0,2,3,5.797469879518073,20,0
29,Yes,Travel_Rarely,Sales,4,3,Marketing,992,5,Research Scientist,Single,36910,1.0,13,0,2.0,3,2,2,2,2.0,2.0,3.0,3,3,6.259075189647479,20,0
29,No,Travel_Frequently,Research & Development,8,4,Life Sciences,993,1,Sales Executive,Single,23770,8.0,21,1,10.0,2,3,0,2,4.0,3.0,4.0,3,4,8.486671128960285,9,239
30,No,Travel_Rarely,Sales,7,3,Life Sciences,994,3,Sales Executive,Divorced,23130,2.0,11,0,12.0,5,7,1,7,3.0,1.0,3.0,3,3,7.450123828647925,18,126
34,No,Travel_Rarely,Research & Development,1,2,Medical,995,2,Healthcare Representative,Married,176650,0.0,11,0,6.0,5,5,1,2,4.0,4.0,3.0,2,3,9.456818384649711,12,237
33,No,Non-Travel,Research & Development,2,4,Medical,996,1,Sales Representative,Single,25960,8.0,14,1,13.0,4,11,1,7,4.0,2.0,2.0,3,3,6.763322177599286,21,5
49,No,Travel_Rarely,Sales,3,4,Marketing,997,1,Sales Executive,Single,47280,3.0,11,1,8.0,4,5,0,4,4.0,4.0,4.0,3,3,7.604820392681838,3,40
33,Yes,Travel_Rarely,Research & Development,10,3,Life Sciences,998,1,Sales Executive,Single,43020,2.0,13,0,11.0,3,0,0,0,1.0,1.0,2.0,1,3,7.5801015171798305,21,191
38,No,Travel_Frequently,Research & Development,28,3,Medical,999,1,Healthcare Representative,Married,29790,4.0,12,1,9.0,3,6,0,5,3.0,2.0,2.0,3,3,7.752089468987059,4,81
31,Yes,Travel_Rarely,Human Resources,9,4,Human Resources,1000,2,Laboratory Technician,Married,168850,2.0,14,2,10.0,2,1,0,0,1.0,3.0,3.0,3,3,6.018442659526997,7,0
29,No,Travel_Rarely,Research & Development,3,4,Other,1001,2,Sales Representative,Divorced,55930,1.0,13,1,1.0,3,1,0,0,4.0,1.0,3.0,3,3,5.710880187416333,23,0
30,No,Travel_Rarely,Research & Development,2,1,Medical,1002,1,Sales Representative,Married,104450,3.0,18,1,10.0,3,7,1,7,3.0,3.0,3.0,3,3,6.551996876394467,10,0
32,No,Non-Travel,Research & Development,10,4,Life Sciences,1003,1,Laboratory Technician,Single,87400,2.0,11,1,12.0,2,7,0,7,2.0,2.0,3.0,3,3,5.5087806782686295,21,0
38,No,Travel_Rarely,Research & Development,8,2,Technical Degree,1004,1,Manufacturing Director,Married,25140,3.0,11,0,15.0,2,1,1,0,2.0,4.0,3.0,2,3,8.512315930388219,14,235
43,Yes,Travel_Frequently,Research & Development,1,4,Other,1005,3,Sales Executive,Married,76550,9.0,12,1,6.0,3,1,0,0,3.0,3.0,3.0,3,3,8.10336791610888,9,223
42,No,Travel_Rarely,Human Resources,1,3,Other,1006,1,Healthcare Representative,Divorced,174650,8.0,13,1,7.0,3,5,0,4,2.0,2.0,2.0,3,3,6.281050870147255,15,0
55,No,Travel_Rarely,Research & Development,3,2,Life Sciences,1007,1,Sales Executive,Married,73510,8.0,20,1,34.0,3,1,0,0,3.0,1.0,3.0,3,4,7.086865238732709,17,22
33,No,Non-Travel,Research & Development,14,3,Other,1008,1,Research Scientist,Divorced,108200,5.0,12,0,11.0,2,9,1,7,4.0,2.0,2.0,3,3,6.2554016064257025,17,0
41,No,Travel_Rarely,Research & Development,5,3,Medical,1009,1,Sales Representative,Divorced,121690,1.0,19,0,5.0,2,5,0,4,3.0,1.0,3.0,3,3,6.009721106648817,10,0
34,No,Non-Travel,Research & Development,7,4,Medical,1010,1,Research Scientist,Divorced,196260,1.0,21,0,15.0,5,15,0,7,4.0,3.0,3.0,2,4,7.846302989736724,10,180
53,No,Non-Travel,Research & Development,10,4,Medical,1011,2,Healthcare Representative,Married,20700,4.0,13,2,27.0,2,3,0,2,1.0,3.0,2.0,4,3,7.554045069165551,17,140
43,No,Travel_Rarely,Sales,16,2,Marketing,1012,1,Laboratory Technician,Single,67820,0.0,16,1,10.0,2,9,1,8,2.0,4.0,3.0,3,3,5.721664435519857,15,0
34,No,Travel_Rarely,Sales,10,2,Life Sciences,1013,5,Sales Executive,Single,77790,5.0,12,1,6.0,2,2,2,2,4.0,4.0,3.0,3,3,7.548742748772869,5,33
21,Yes,Travel_Rarely,Sales,1,2,Marketing,1014,5,Healthcare Representative,Single,27910,1.0,14,0,1.0,3,1,1,0,2.0,2.0,3.0,4,3,7.066681169120927,14,8
38,No,Travel_Rarely,Research & Development,8,2,Life Sciences,1015,2,Sales Executive,Married,32010,1.0,11,1,5.0,3,5,0,4,4.0,3.0,3.0,2,3,6.0464982150825515,13,0
22,Yes,Travel_Rarely,Research & Development,1,3,Other,1016,4,Research Scientist,Married,49680,1.0,14,0,1.0,3,1,0,0,3.0,1.0,3.0,3,3,8.663879964301652,6,243
31,No,Travel_Rarely,Research & Development,8,5,Life Sciences,1017,5,Sales Executive,Married,131200,1.0,12,2,13.0,6,12,5,7,1.0,4.0,3.0,2,3,6.796309683177152,17,3
51,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1018,1,Manager,Married,40330,2.0,14,0,15.0,2,2,2,2,1.0,3.0,3.0,3,3,6.396244979919679,12,0
37,No,Travel_Rarely,Research & Development,24,1,Life Sciences,1019,2,Sales Executive,Married,32910,1.0,16,3,5.0,2,5,0,3,2.0,2.0,3.0,2,3,7.750262159750111,7,108
46,No,Travel_Rarely,Sales,3,4,Marketing,1020,1,Sales Representative,Divorced,42720,7.0,13,0,24.0,3,2,2,2,3.0,4.0,3.0,4,3,9.858256358768408,4,245
36,No,Travel_Rarely,Research & Development,27,3,Technical Degree,1021,4,Research Scientist,Married,50560,7.0,12,0,15.0,2,12,5,7,4.0,1.0,3.0,2,3,9.201354306113343,9,240
44,Yes,Travel_Frequently,Sales,10,4,Life Sciences,1022,1,Research Scientist,Divorced,28440,1.0,12,0,6.0,2,5,2,3,3.0,2.0,2.0,4,3,8.576400044622934,19,230
37,No,Travel_Rarely,Research & Development,19,2,Technical Degree,1023,2,Sales Executive,Divorced,27030,2.0,14,0,19.0,2,10,4,7,3.0,2.0,2.0,3,3,5.5958389112003575,21,0
35,Yes,Travel_Rarely,Research & Development,15,4,Life Sciences,1024,2,Research Scientist,Single,19040,1.0,22,1,10.0,4,10,7,7,3.0,4.0,3.0,3,4,7.90093150379295,20,224
33,No,Travel_Rarely,Research & Development,8,5,Medical,1025,2,Laboratory Technician,Married,82240,6.0,19,0,14.0,3,10,7,6,4.0,1.0,3.0,3,3,7.872810129406515,4,119
28,No,Travel_Rarely,Sales,9,3,Medical,1026,2,Sales Executive,Married,47660,1.0,12,0,5.0,3,5,0,3,3.0,4.0,4.0,3,3,6.803930165104864,20,3
39,No,Travel_Rarely,Sales,3,4,Marketing,1027,2,Laboratory Technician,Single,26100,7.0,12,0,9.0,2,4,2,2,3.0,3.0,3.0,2,3,6.619466755912539,10,0
46,No,Non-Travel,Research & Development,9,2,Life Sciences,1028,2,Manufacturing Director,Single,57310,8.0,17,0,6.0,2,2,2,2,2.0,2.0,3.0,3,3,6.531731369924141,6,0
40,No,Travel_Rarely,Research & Development,2,2,Medical,1029,1,Research Director,Married,25390,4.0,12,1,7.0,3,4,0,2,3.0,1.0,2.0,3,3,6.095861222668452,19,0
42,No,Travel_Rarely,Research & Development,7,4,Other,1030,2,Laboratory Technician,Married,57140,5.0,11,0,10.0,2,0,0,0,2.0,1.0,2.0,3,3,6.120848951361,18,0
35,No,Non-Travel,Sales,10,1,Life Sciences,1031,2,Research Director,Divorced,43230,2.0,18,3,15.0,3,7,1,7,2.0,4.0,3.0,3,3,6.355355867916109,12,0
38,No,Non-Travel,Sales,6,4,Marketing,1032,3,Sales Executive,Divorced,73360,5.0,11,0,13.0,3,11,3,8,1.0,2.0,3.0,3,3,7.6460140562248995,5,59
34,Yes,Travel_Frequently,Research & Development,2,1,Life Sciences,1033,1,Manufacturing Director,Married,134990,4.0,23,2,11.0,2,7,0,7,4.0,1.0,2.0,4,4,7.291588576528336,19,82
37,Yes,Travel_Rarely,Research & Development,24,3,Life Sciences,1034,1,Laboratory Technician,Single,137580,1.0,11,1,10.0,5,10,0,8,4.0,1.0,1.0,3,3,6.0588319946452485,6,0
39,No,Travel_Frequently,Research & Development,2,1,Medical,1035,2,Healthcare Representative,Divorced,51550,2.0,18,1,7.0,3,2,2,2,3.0,4.0,3.0,2,3,5.949748995983936,10,0
43,No,Non-Travel,Human Resources,8,5,Medical,1036,3,Sales Executive,Single,22580,4.0,18,0,7.0,2,3,1,2,1.0,3.0,2.0,3,3,6.732850290049085,23,10
41,No,Travel_Rarely,Research & Development,3,3,Life Sciences,1037,3,Research Scientist,Single,35970,3.0,13,1,11.0,2,3,1,2,2.0,2.0,1.0,1,3,7.361606425702811,14,61
41,No,Travel_Rarely,Research & Development,1,1,Technical Degree,1038,3,Laboratory Technician,Divorced,25150,0.0,18,0,23.0,2,22,13,5,3.0,3.0,4.0,2,3,10.116121151271752,5,244
30,No,Travel_Rarely,Sales,26,3,Marketing,1039,2,Manager,Single,44200,9.0,11,0,9.0,3,7,0,2,1.0,3.0,3.0,3,3,6.8426004016064255,8,0
26,Yes,Travel_Rarely,Human Resources,2,1,Technical Degree,1040,3,Sales Executive,Married,65780,0.0,15,2,6.0,3,5,1,4,4.0,2.0,3.0,2,3,8.030913654618473,19,229
46,Yes,Travel_Rarely,Research & Development,10,3,Medical,1041,1,Sales Executive,Married,44220,4.0,11,1,13.0,2,9,3,7,4.0,2.0,4.0,3,3,7.8397947344935295,4,105
40,No,Travel_Rarely,Sales,27,2,Medical,1042,3,Sales Executive,Divorced,102740,4.0,18,0,12.0,3,5,0,3,3.0,4.0,3.0,3,3,6.167845827755466,16,0
34,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1043,2,Laboratory Technician,Married,53430,1.0,14,0,10.0,5,10,4,8,2.0,3.0,3.0,2,3,6.870494199018295,17,4
58,No,Non-Travel,Research & Development,2,4,Medical,1044,1,Laboratory Technician,Divorced,23760,4.0,12,1,37.0,3,16,14,14,2.0,2.0,2.0,3,3,6.445216421240517,6,0
35,No,Travel_Rarely,Research & Development,8,1,Technical Degree,1045,3,Manufacturing Director,Married,53460,0.0,14,0,6.0,3,5,0,3,2.0,3.0,4.0,2,3,6.7797556894243645,21,3
47,No,Travel_Rarely,Research & Development,19,5,Medical,1046,2,Research Scientist,Divorced,28270,8.0,14,1,28.0,3,22,14,10,3.0,2.0,3.0,3,3,10.10755912539045,14,235
40,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1047,2,Manager,Divorced,199430,2.0,13,1,15.0,3,7,7,7,2.0,1.0,3.0,3,3,6.878937974118697,12,2
54,No,Travel_Rarely,Sales,27,4,Medical,1048,1,Research Scientist,Married,31310,4.0,14,0,14.0,3,7,1,7,4.0,4.0,2.0,2,3,6.515185185185185,20,0
31,No,Travel_Frequently,Sales,8,4,Other,1049,3,Manufacturing Director,Married,25520,2.0,18,0,9.0,2,3,2,2,1.0,1.0,3.0,3,3,7.06973114680946,14,10
28,No,Travel_Rarely,Sales,1,2,Life Sciences,1050,3,Manager,Married,44770,1.0,15,0,3.0,6,3,1,2,3.0,1.0,3.0,3,3,6.9761512717536815,19,15
38,No,Travel_Rarely,Research & Development,19,3,Medical,1051,2,Manufacturing Director,Married,64740,2.0,13,2,20.0,3,4,0,3,2.0,4.0,2.0,1,3,9.091726907630523,11,238
26,No,Travel_Rarely,Sales,8,3,Marketing,1052,1,Healthcare Representative,Single,30330,1.0,12,0,5.0,2,5,1,2,3.0,4.0,3.0,2,3,5.87603525211959,10,0
58,No,Travel_Frequently,Research & Development,10,4,Technical Degree,1053,1,Sales Representative,Married,29360,2.0,13,1,23.0,3,2,2,2,1.0,3.0,3.0,3,3,9.242141900937082,9,240
18,No,Non-Travel,Research & Development,2,3,Life Sciences,1054,3,Sales Representative,Single,186060,1.0,24,2,0.0,4,0,0,0,2.0,3.0,1.0,3,4,7.22226907630522,14,29
31,Yes,Travel_Rarely,Research & Development,2,3,Life Sciences,1055,3,Laboratory Technician,Married,21680,0.0,14,1,2.0,2,1,0,0,4.0,1.0,3.0,3,3,5.7671463632307,14,0
29,Yes,Travel_Rarely,Research & Development,8,2,Medical,1056,1,Manager,Divorced,28530,4.0,14,1,4.0,5,2,2,0,1.0,1.0,3.0,2,3,8.48642681838465,6,239
45,No,Non-Travel,Sales,1,4,Technical Degree,1057,1,Research Scientist,Married,170480,4.0,15,0,10.0,3,8,5,7,3.0,3.0,4.0,2,3,6.711396697902723,17,0
36,No,Travel_Rarely,Sales,2,3,Technical Degree,1058,5,Laboratory Technician,Married,22900,4.0,11,0,15.0,5,1,0,0,4.0,2.0,3.0,3,3,10.059529228023205,14,235
43,No,Travel_Frequently,Sales,8,3,Medical,1059,1,Research Director,Married,36000,1.0,23,0,7.0,2,7,7,7,1.0,4.0,3.0,3,4,6.46299754573851,19,0
27,No,Travel_Frequently,Sales,8,4,Life Sciences,1060,5,Research Scientist,Single,21070,0.0,13,0,6.0,2,5,0,2,4.0,4.0,2.0,3,3,9.919124274877285,7,242
29,No,Travel_Frequently,Research & Development,6,2,Medical,1061,1,Human Resources,Married,41150,1.0,11,0,11.0,1,11,3,10,4.0,4.0,4.0,3,3,7.322629406514948,12,37
32,No,Travel_Frequently,Sales,9,4,Life Sciences,1062,4,Sales Executive,Single,43270,8.0,13,0,4.0,4,0,0,0,4.0,4.0,4.0,3,3,7.021560687193217,19,21
42,No,Non-Travel,Research & Development,11,3,Medical,1063,1,Manager,Married,178560,3.0,18,0,10.0,2,6,3,3,3.0,3.0,2.0,3,3,6.17805890227577,12,0
47,No,Travel_Rarely,Sales,2,2,Life Sciences,1064,5,Manager,Single,31960,4.0,14,1,7.0,3,2,2,0,2.0,3.0,3.0,2,3,5.536802766622043,23,0
46,No,Travel_Rarely,Human Resources,1,3,Life Sciences,1065,1,Laboratory Technician,Divorced,190810,3.0,21,0,12.0,2,9,4,7,4.0,4.0,2.0,3,4,6.917404060687193,11,0
28,No,Non-Travel,Research & Development,7,3,Life Sciences,1066,1,Sales Executive,Divorced,89660,1.0,16,1,3.0,3,3,2,2,3.0,4.0,3.0,2,3,7.200253235162874,16,36
29,No,Travel_Rarely,Research & Development,16,3,Medical,1067,1,Manufacturing Director,Divorced,22100,8.0,11,1,11.0,4,7,1,6,4.0,3.0,3.0,3,3,7.420375948237394,18,117
42,No,Travel_Rarely,Sales,2,4,Medical,1068,2,Research Director,Single,45390,4.0,17,1,8.0,5,0,0,0,4.0,3.0,3.0,3,3,6.381533913431505,8,0
32,Yes,Travel_Rarely,Research & Development,1,1,Medical,1069,2,Laboratory Technician,Single,27410,7.0,11,0,7.0,3,2,2,2,3.0,2.0,2.0,3,3,9.909873940205266,12,237
46,No,Travel_Rarely,Research & Development,23,1,Life Sciences,1070,2,Laboratory Technician,Divorced,34910,2.0,14,0,25.0,0,19,2,8,1.0,1.0,3.0,3,3,7.523045515394912,11,85
27,No,Travel_Rarely,Sales,2,3,Life Sciences,1071,5,Research Scientist,Married,45410,1.0,14,2,9.0,4,9,5,8,2.0,3.0,3.0,4,3,6.5135988398036595,20,0
29,No,Travel_Rarely,Research & Development,1,2,Medical,1072,3,Sales Executive,Married,26780,1.0,25,1,1.0,3,1,0,0,4.0,2.0,3.0,3,4,7.531957831325301,14,110
43,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1073,1,Manufacturing Director,Married,73790,7.0,13,2,21.0,3,16,6,14,1.0,3.0,3.0,2,3,6.124693217313699,7,0
48,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1074,2,Manager,Married,62720,4.0,14,0,29.0,3,22,12,9,4.0,2.0,3.0,2,3,5.809839357429719,12,0
29,Yes,Travel_Frequently,Research & Development,13,2,Life Sciences,1075,1,Laboratory Technician,Single,52200,1.0,17,0,1.0,3,1,1,0,4.0,4.0,2.0,2,3,8.071975680499778,15,227
46,Yes,Travel_Rarely,Research & Development,4,4,Medical,1076,2,Sales Representative,Married,27430,5.0,25,1,14.0,1,8,0,7,3.0,2.0,3.0,4,4,7.282734270414992,19,76
27,No,Travel_Frequently,Research & Development,16,4,Medical,1077,3,Healthcare Representative,Married,49980,0.0,20,2,8.0,3,7,7,3,4.0,1.0,2.0,3,4,7.343913431503792,11,36
39,No,Travel_Rarely,Research & Development,2,3,Technical Degree,1078,3,Healthcare Representative,Divorced,102520,8.0,13,1,7.0,3,2,2,2,2.0,4.0,3.0,3,3,6.284714413208389,9,0
55,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1079,1,Human Resources,Married,27810,8.0,13,1,19.0,2,5,0,4,2.0,4.0,4.0,3,3,5.908809683177154,13,0
28,No,Travel_Rarely,Research & Development,29,2,Life Sciences,1080,2,Laboratory Technician,Married,68520,1.0,18,1,1.0,2,1,0,0,2.0,2.0,3.0,4,3,6.41086568496207,22,0
30,Yes,Travel_Rarely,Sales,12,4,Life Sciences,1081,2,Sales Executive,Single,49500,1.0,12,2,1.0,3,1,0,0,2.0,4.0,2.0,3,3,7.044107541276216,21,36
22,Yes,Travel_Rarely,Research & Development,16,2,Life Sciences,1082,2,Laboratory Technician,Single,35790,1.0,19,3,1.0,3,1,0,0,4.0,2.0,3.0,3,3,10.250703926818385,6,243
36,No,Travel_Rarely,Research & Development,11,3,Life Sciences,1083,1,Sales Executive,Married,131910,1.0,14,1,10.0,2,10,1,7,2.0,3.0,3.0,2,3,8.846895359214637,17,232
31,No,Travel_Rarely,Research & Development,2,4,Life Sciences,1084,5,Manager,Divorced,103770,1.0,14,0,10.0,2,10,0,2,2.0,3.0,3.0,3,3,7.088992637215529,13,7
34,No,Travel_Rarely,Sales,14,2,Technical Degree,1085,1,Sales Executive,Married,22350,2.0,14,1,9.0,2,5,1,0,3.0,4.0,3.0,3,3,7.535445113788487,18,150
29,No,Travel_Rarely,Research & Development,5,5,Life Sciences,1086,1,Sales Executive,Single,105020,3.0,12,0,11.0,4,3,1,2,4.0,1.0,3.0,2,3,6.691262829094155,15,1
37,No,Travel_Rarely,Research & Development,7,2,Medical,1087,1,Manufacturing Director,Married,20110,5.0,13,0,16.0,4,5,0,4,4.0,1.0,3.0,4,3,8.110050200803213,16,229
35,No,Travel_Rarely,Sales,2,1,Technical Degree,1088,2,Laboratory Technician,Married,18590,0.0,25,1,4.0,2,3,0,2,4.0,2.0,3.0,2,4,10.218195002231148,6,243
45,No,Travel_Rarely,Research & Development,3,3,Medical,1089,2,Sales Executive,Married,37600,0.0,14,1,10.0,2,9,3,8,2.0,4.0,2.0,2,3,6.90685854529228,7,0
36,No,Travel_Frequently,Research & Development,5,3,Medical,1090,4,Manufacturing Director,Single,177790,1.0,17,1,10.0,5,10,0,8,2.0,4.0,2.0,1,3,5.922822400713967,22,0
40,No,Travel_Rarely,Research & Development,3,3,Other,1091,1,Sales Executive,Divorced,68330,2.0,13,0,22.0,3,19,11,16,1.0,1.0,3.0,3,3,6.639234716644355,5,0
26,No,Travel_Rarely,Research & Development,26,2,Life Sciences,1092,2,Human Resources,Married,68120,1.0,13,0,1.0,2,1,1,0,2.0,3.0,2.0,2,3,8.890831102186525,11,238
27,No,Travel_Rarely,Research & Development,4,3,Technical Degree,1093,2,Manufacturing Director,Single,51710,0.0,20,1,9.0,1,8,0,7,1.0,3.0,3.0,2,4,7.041622043730478,18,18
48,No,Travel_Frequently,Research & Development,2,3,Life Sciences,1094,2,Research Director,Divorced,197400,3.0,14,0,24.0,2,22,4,7,4.0,4.0,3.0,4,3,7.058003123605533,6,1
44,No,Travel_Rarely,Sales,1,2,Medical,1095,4,Manager,Married,187110,2.0,12,1,10.0,0,2,2,2,2.0,1.0,3.0,3,3,6.849905176260598,8,0
34,Yes,Non-Travel,Research & Development,27,2,Life Sciences,1096,1,Sales Representative,Married,36920,1.0,12,1,5.0,5,5,3,0,4.0,1.0,3.0,3,3,9.61504016064257,14,235
56,Yes,Travel_Rarely,Human Resources,1,2,Medical,1097,5,Sales Executive,Single,25590,1.0,21,0,5.0,3,4,1,0,1.0,4.0,3.0,3,4,6.368572066041946,18,0
36,No,Travel_Rarely,Research & Development,13,3,Technical Degree,1098,3,Healthcare Representative,Married,25170,2.0,14,0,12.0,3,4,1,3,3.0,2.0,1.0,3,3,6.674357429718875,21,1
41,No,Travel_Rarely,Research & Development,5,3,Life Sciences,1099,1,Sales Executive,Married,66230,5.0,18,0,14.0,3,5,1,4,3.0,2.0,3.0,3,3,5.898488398036591,20,0
42,No,Travel_Rarely,Research & Development,7,3,Technical Degree,1100,2,Sales Executive,Married,182650,9.0,12,1,18.0,4,13,5,7,3.0,1.0,4.0,3,3,6.879170013386881,17,5
31,No,Travel_Rarely,Sales,9,4,Life Sciences,1101,1,Sales Executive,Divorced,161240,2.0,23,1,8.0,2,5,1,4,3.0,4.0,3.0,2,4,7.725267737617135,18,201
34,No,Travel_Rarely,Research & Development,8,1,Life Sciences,1102,3,Laboratory Technician,Married,25850,3.0,12,0,9.0,5,4,0,1,4.0,4.0,2.0,3,3,8.84252900490852,10,239
31,No,Travel_Rarely,Sales,25,2,Life Sciences,1103,3,Manufacturing Director,Divorced,182130,8.0,21,2,4.0,3,2,2,2,1.0,3.0,2.0,4,4,6.446215975011156,13,0
26,No,Travel_Frequently,Sales,16,2,Life Sciences,1104,2,Healthcare Representative,Married,83800,4.0,14,0,8.0,3,7,7,7,3.0,4.0,3.0,4,3,5.5622356091030785,21,0
45,No,Travel_Frequently,Research & Development,8,4,Life Sciences,1105,2,Manager,Single,29940,4.0,18,1,12.0,2,4,0,3,2.0,3.0,3.0,3,3,7.441053101294066,11,54
33,No,Travel_Rarely,Sales,1,3,Life Sciences,1106,5,Sales Executive,Single,12230,1.0,13,1,10.0,3,10,0,9,2.0,3.0,2.0,3,3,5.932086122266845,20,0
28,No,Travel_Frequently,Sales,8,3,Life Sciences,1107,4,Research Scientist,Married,11180,1.0,11,0,7.0,3,7,0,7,3.0,4.0,3.0,3,3,10.092581436858547,12,237
29,Yes,Travel_Frequently,Human Resources,2,4,Human Resources,1108,2,Sales Executive,Single,28750,1.0,11,0,1.0,3,1,0,0,3.0,1.0,3.0,3,3,6.287102855867916,19,0
39,No,Non-Travel,Research & Development,8,5,Medical,1109,2,Sales Representative,Married,188240,6.0,19,1,10.0,4,3,1,2,1.0,3.0,3.0,3,3,5.814618473895583,19,0
27,No,Travel_Rarely,Sales,3,2,Technical Degree,1110,2,Healthcare Representative,Married,135770,1.0,12,1,6.0,2,5,1,2,2.0,2.0,2.0,3,3,6.670740740740741,21,1
34,No,Travel_Frequently,Research & Development,9,4,Life Sciences,1111,2,Manufacturing Director,Married,26250,1.0,12,3,16.0,4,15,6,11,3.0,4.0,3.0,3,3,8.748442659526997,5,244
28,Yes,Travel_Rarely,Research & Development,25,3,Technical Degree,1112,1,Research Director,Single,187890,3.0,16,1,6.0,4,2,2,2,4.0,3.0,3.0,3,3,9.273622266845159,4,245
47,No,Non-Travel,Research & Development,1,4,Medical,1113,1,Research Scientist,Married,45380,8.0,11,0,16.0,3,8,1,7,3.0,2.0,4.0,3,3,5.593547523427041,17,0
56,No,Travel_Rarely,Research & Development,4,3,Technical Degree,1114,2,Sales Executive,Married,198470,4.0,14,0,6.0,6,0,0,0,4.0,1.0,3.0,3,3,7.320381526104418,18,81
39,No,Travel_Rarely,Research & Development,1,3,Other,1115,1,Laboratory Technician,Married,105120,1.0,12,1,10.0,2,10,7,9,1.0,1.0,3.0,3,3,6.453038821954485,19,1
38,No,Travel_Frequently,Research & Development,4,2,Medical,1116,1,Manager,Divorced,44440,1.0,13,0,20.0,2,20,0,7,4.0,2.0,3.0,3,3,10.677810129406515,3,246
58,No,Travel_Rarely,Sales,5,3,Marketing,1117,5,Sales Representative,Married,21540,4.0,21,1,29.0,3,1,0,0,4.0,4.0,2.0,3,4,9.76977576974565,3,246
32,Yes,Travel_Frequently,Research & Development,9,3,Life Sciences,1118,2,Laboratory Technician,Single,191900,3.0,17,1,8.0,2,4,0,3,1.0,3.0,3.0,3,3,9.646204819277107,14,235
38,No,Travel_Rarely,Research & Development,3,4,Life Sciences,1119,1,Sales Representative,Divorced,44900,2.0,21,1,10.0,1,5,0,3,2.0,4.0,4.0,3,4,7.191980142793396,14,28
49,No,Travel_Frequently,Sales,11,4,Life Sciences,1120,2,Research Scientist,Married,35060,3.0,11,1,28.0,4,5,4,3,2.0,4.0,3.0,2,3,5.931586345381526,14,0
42,No,Travel_Rarely,Sales,1,3,Life Sciences,1121,1,Sales Executive,Divorced,23720,3.0,12,1,14.0,3,0,0,0,2.0,4.0,3.0,3,3,8.492295850066933,6,239
27,Yes,Travel_Frequently,Sales,8,1,Life Sciences,1122,4,Laboratory Technician,Married,102310,1.0,13,1,1.0,2,1,0,0,1.0,2.0,3.0,3,3,6.29320058009817,8,0
35,No,Travel_Rarely,Research & Development,25,1,Medical,1123,1,Sales Executive,Married,54100,0.0,18,0,6.0,4,5,0,4,2.0,1.0,1.0,3,3,6.426741410084784,7,0
28,No,Non-Travel,Research & Development,21,1,Medical,1124,3,Research Scientist,Single,79780,1.0,16,2,5.0,2,5,1,4,3.0,3.0,2.0,3,3,6.21049308344489,17,0
31,No,Non-Travel,Sales,23,1,Medical,1125,1,Sales Executive,Divorced,38670,1.0,11,1,4.0,4,4,2,3,3.0,1.0,4.0,4,3,9.734163319946452,2,247
36,No,Non-Travel,Research & Development,1,3,Life Sciences,1126,2,Research Scientist,Married,28380,1.0,19,2,5.0,5,5,0,2,1.0,2.0,3.0,1,3,6.902014725568941,7,0
34,No,Travel_Rarely,Sales,2,3,Marketing,1127,4,Healthcare Representative,Single,46950,1.0,16,1,14.0,2,14,2,1,1.0,4.0,2.0,3,3,5.66185408299866,15,0
34,No,Travel_Rarely,Research & Development,19,3,Technical Degree,1128,1,Research Director,Divorced,33390,1.0,16,0,9.0,2,8,1,1,4.0,3.0,2.0,2,3,6.474244756804997,12,0
26,No,Travel_Rarely,Research & Development,2,2,Life Sciences,1129,2,Research Scientist,Single,20800,0.0,13,0,8.0,6,7,7,6,3.0,1.0,2.0,4,3,6.580775323516288,7,0
29,No,Travel_Rarely,Research & Development,2,4,Other,1130,2,Laboratory Technician,Married,20960,0.0,22,0,6.0,2,5,0,2,1.0,1.0,2.0,4,4,7.441870816599732,9,40
32,No,Non-Travel,Research & Development,3,1,Life Sciences,1131,3,Manager,Divorced,62090,5.0,17,1,9.0,5,5,1,2,3.0,4.0,3.0,4,3,6.460208612226684,5,0
31,No,Travel_Frequently,Research & Development,25,5,Technical Degree,1132,2,Human Resources,Married,180610,1.0,14,1,10.0,2,10,8,7,4.0,1.0,3.0,3,3,6.587740963855421,12,0
28,Yes,Travel_Rarely,Sales,7,5,Life Sciences,1133,2,Sales Representative,Divorced,171230,5.0,15,1,6.0,2,4,0,3,3.0,4.0,2.0,2,3,5.761482597054886,22,0
38,No,Travel_Rarely,Research & Development,9,2,Technical Degree,1134,3,Sales Representative,Single,23720,4.0,12,0,20.0,3,1,0,0,1.0,1.0,2.0,2,3,7.006826193663542,6,1
35,No,Travel_Rarely,Research & Development,5,3,Life Sciences,1135,2,Sales Representative,Married,48830,1.0,18,1,10.0,1,10,0,9,3.0,4.0,3.0,1,3,8.142954038375725,19,229
